Plant_Name,PrimSource,Total_MW,latitude,longitude
EXC Wind 8,wind,10.00000000000,36.00750000000,-101.86140000000
EXC Wind 7,wind,10.00000000000,36.02640000000,-101.90000000000
Marshall Wind 1 LLC,wind,2.10000000000,44.32530000000,-95.81420000000
Glenrock,wind,138.00000000000,43.01810000000,-105.83527800000
Rolling Hills,wind,99.00000000000,43.05720000000,-105.85430000000
Seven Mile Hill,wind,118.50000000000,41.92030000000,-106.37580000000
CPV St Charles Energy Center,natural gas,726.00000000000,38.56860000000,-76.89190000000
Plainfield Renewable Energy LLC,biomass,37.50000000000,41.66437600000,-71.92418000000
Haverhill North Cogeneration Facility,other,53.00000000000,38.59665700000,-82.82864200000
Lanchester Generating Station,biomass,3.20000000000,40.11080000000,-75.95470000000
South Kent Generating Station,biomass,3.00000000000,42.78140000000,-85.67280000000
White Feather Generating Station,biomass,3.00000000000,43.89830000000,-83.94940000000
Trans-Jordan Generating Station,biomass,4.50000000000,40.55000000000,-112.06310000000
Wheat Field Wind Power Project,wind,96.60000000000,45.67580400000,-120.31832000000
Arlington Wind Power Project,wind,102.90000000000,45.71670000000,-120.20080000000
Rail Splitter Wind Farm,wind,100.50000000000,40.36920000000,-89.40220000000
Marble River Wind Farm,wind,215.00000000000,44.97583300000,-73.92972200000
Sagebrush Power Partners,wind,100.70000000000,47.13560000000,-120.68720000000
Crosswind Energy Project,wind,21.00000000000,43.04750000000,-94.92280000000
Hardin Hilltop Wind LLC,wind,14.70000000000,42.08220000000,-94.36500000000
Bolthouse S&P and Rowen Farms Solar,solar,1.20000000000,34.56440000000,-117.69330000000
Model Gas Power Station,biomass,2.80000000000,39.89080000000,-83.02720000000
Covel Gardens Gas Recovery,biomass,9.60000000000,29.34670000000,-98.65360000000
Ottawa County Project,biomass,2.80000000000,41.52830000000,-83.03530000000
Carbon Limestone,biomass,25.60000000000,40.99750000000,-80.52080000000
Loraine County Project,biomass,27.20000000000,41.30060000000,-82.18030000000
Taylor,biomass,8.00000000000,32.45220000000,-84.38720000000
Zion Landfill Gas to Energy Facility,biomass,7.00000000000,42.48030000000,-87.88610000000
Meldahl Hydroelectric Project,hydroelectric,105.00000000000,38.79143100000,-84.17298200000
SECCRA Community Landfill,biomass,2.50000000000,39.86390000000,-75.84280000000
Shiloh Wind Project 2 LLC,wind,150.00000000000,38.17110000000,-121.84610000000
Sacramento Soleil LLC,solar,1.00000000000,38.44979000000,-121.16469000000
Wapsipinicon Wind Project,wind,100.50000000000,43.80060000000,-92.68220000000
Hall's Warehouse Solar Project,solar,1.50000000000,40.57370800000,-74.39441400000
Hoosier Wind Project LLC,wind,106.00000000000,40.71780000000,-87.26310000000
