Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec
1400000US36047043700,36047043700,"Census Tract 437, Kings County, New York",5758,2205,3229,65,141,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,11,0,0,0,6,22,44,0
1400000US36047043800,36047043800,"Census Tract 438, Kings County, New York",2387,987,384,19,12,0,0,0,9,0,0,0,547,0,20,4,0,15,0,0,55,15,34,101,0,0,0,0,0,0,0,92,0,0,0,0,0,26,67,0,0
1400000US36047043900,36047043900,"Census Tract 439, Kings County, New York",3896,998,2634,0,23,0,0,16,0,0,0,0,0,34,0,0,0,0,0,0,0,17,25,20,72,44,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0
1400000US36047044000,36047044000,"Census Tract 440, Kings County, New York",2686,1414,266,14,0,76,0,0,52,0,0,56,284,5,0,20,0,26,0,0,0,0,26,51,0,5,0,0,0,0,0,25,0,0,0,0,10,155,196,0,5
1400000US36047044100,36047044100,"Census Tract 441, Kings County, New York",5523,1322,3558,12,0,9,0,8,1,0,0,0,33,0,0,0,0,0,0,42,0,0,0,366,0,67,0,0,7,0,12,41,35,0,0,0,0,10,0,0,0
1400000US36047044200,36047044200,"Census Tract 442, Kings County, New York",2526,1392,31,6,0,10,18,6,139,0,0,0,315,103,5,22,0,0,0,0,25,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,262,0,114
1400000US36047044300,36047044300,"Census Tract 443, Kings County, New York",5079,1235,3063,7,0,30,39,39,0,0,15,0,27,16,0,0,0,0,15,41,0,22,0,94,65,0,0,0,0,0,75,86,175,25,0,0,0,0,0,10,0
1400000US36047044400,36047044400,"Census Tract 444, Kings County, New York",3067,2223,147,34,0,6,0,0,55,0,0,8,233,0,0,0,0,0,0,0,10,12,0,138,14,0,0,0,0,0,0,8,0,0,0,0,0,22,157,0,0
1400000US36047044500,36047044500,"Census Tract 445, Kings County, New York",4658,1365,2616,19,0,29,0,21,0,8,0,0,11,0,0,0,0,8,0,0,0,99,0,165,39,10,0,0,0,0,0,42,134,11,0,0,0,58,23,0,0
1400000US36047044600,36047044600,"Census Tract 446, Kings County, New York",1953,709,205,0,0,135,0,0,15,0,0,24,181,0,0,25,0,0,0,0,0,5,82,534,0,0,0,0,0,0,12,22,0,0,0,0,0,1,2,1,0
1400000US36047044700,36047044700,"Census Tract 447, Kings County, New York",2311,1163,1008,13,22,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,6,15,0,0,0,12,7,9,0,0,0,0,0,0,0,0,0
1400000US36047044800,36047044800,"Census Tract 448, Kings County, New York",1751,911,238,14,0,32,0,0,45,0,0,0,129,6,0,0,0,21,0,0,70,0,0,70,0,0,0,0,0,0,0,42,0,0,0,0,0,7,166,0,0
1400000US36047044900,36047044900,"Census Tract 449, Kings County, New York",3147,1774,1071,0,12,33,0,0,0,0,0,0,0,66,7,44,0,0,0,0,6,0,4,107,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0
