Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",6599,4049,2310,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,13,0,0,0,0,0,19,150,0,0.5004027735584985
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",5414,1752,3455,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0.4873245204697859
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4430,2360,2027,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,6,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5067985059796483
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1738,938,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.4979044203818789
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",3640,1157,2299,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,6,0,0,0,0,0,18,0,62,0,0.49935364086462997
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",4535,1964,2335,68,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0.5461341592829991
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5164,1212,3571,130,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,166,0,0.46489602689416865
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5136,2220,2904,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.4934621746440737
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",2100,800,1257,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.496328798185941
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3447,1919,1341,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0.5367665815870294
