Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,ORG_PT023_001,ORG_PT023_002,ORG_PT023_003,ORG_PT023_004,ORG_PT023_005,ORG_PT023_006,ORG_PT023_007,ORG_PT023_008,ORG_PT023_009,ORG_PT023_010,ORG_PT023_011,ORG_PT023_012,ORG_PT023_013,ORG_PT023_014,ORG_PT023_015,ORG_PT023_016,ORG_PT023_017,ORG_PT023_018,ORG_PT023_019,ORG_PT023_020,ORG_PT023_021,ORG_PT023_022,ORG_PT023_023,ORG_PT023_024,ORG_PT023_025,ORG_PT023_026,ORG_PT023_027,ORG_PT023_028,ORG_PT023_029
"36081041500","Census Tract 415","Census Tract 415, Queens County, New York","00","36","081","041500",2214,1388,531,9,0,18,8,7,0,0,516,112,0,102,85,826,5,2,0,20,0,0,0,0,495,133,0,171,0
"36081042400","Census Tract 424","Census Tract 424, Queens County, New York","00","36","081","042400",2492,2278,2030,5,0,8,0,0,0,0,0,23,0,5,207,214,189,12,0,4,0,9,0,0,0,0,0,0,0
"36081042600","Census Tract 426","Census Tract 426, Queens County, New York","00","36","081","042600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36081042700","Census Tract 427","Census Tract 427, Queens County, New York","00","36","081","042700",2359,1309,537,0,0,9,0,10,0,7,394,174,7,74,97,1050,16,22,0,23,0,14,0,35,428,189,12,303,8
"36081043200","Census Tract 432","Census Tract 432, Queens County, New York","00","36","081","043200",1077,994,851,11,0,4,0,0,0,0,0,26,0,6,96,83,61,22,0,0,0,0,0,0,0,0,0,0,0
"36081043400","Census Tract 434","Census Tract 434, Queens County, New York","00","36","081","043400",1835,1787,1365,13,0,3,0,0,0,0,0,0,0,0,406,48,42,6,0,0,0,0,0,0,0,0,0,0,0
"36081043701","Census Tract 437.01","Census Tract 437.01, Queens County, New York","00","36","081","043701",2028.317,1535.905,827.4692,15.93896,2.713014,37.64307,10.1738,1.356507,9.156421,189.9109,199.0674,83.7643,5.765154,70.53835,82.40779,492.412,20.00848,22.04324,0,18.65197,32.55616,5.086901,11.19118,42.72997,109.1988,144.8071,7.799914,72.57311,5.765154
"36081043702","Census Tract 437.02","Census Tract 437.02, Queens County, New York","00","36","081","043702",3952.683,2993.095,1612.531,31.06104,5.286986,73.35693,19.8262,2.643493,17.84358,370.0891,387.9326,163.2357,11.23485,137.4616,160.5922,959.588,38.99152,42.95676,0,36.34803,63.44384,9.913099,21.80882,83.27003,212.8012,282.1929,15.20009,141.4269,11.23485
"36081043900","Census Tract 439","Census Tract 439, Queens County, New York","00","36","081","043900",2486,1754,822,0,0,10,5,8,0,0,425,118,0,38,328,732,0,0,0,0,0,0,0,0,448,258,5,21,0
"36081044000","Census Tract 440","Census Tract 440, Queens County, New York","00","36","081","044000",2775.806,2615.678,2301.641,9.327826,0,3.109275,0,0,0,0,18.65565,6.99587,0,13.99174,261.9565,160.1277,80.06384,42.75254,0,14.76906,0,0,0,0,9.327826,4.663913,0,0,8.550508
"36081044301","Census Tract 443.01","Census Tract 443.01, Queens County, New York","00","36","081","044301",1955.145,1402.08,646.6735,18.39463,5.722775,20.84725,22.07356,24.52618,0,118.952,165.1429,169.2306,0,57.22775,153.2886,553.0653,30.24895,19.21217,3.270157,24.52618,21.25602,12.67186,11.44555,17.98586,97.28717,214.1953,0,96.46963,4.496466
"36081044302","Census Tract 443.02","Census Tract 443.02, Queens County, New York","00","36","081","044302",2827.855,2027.92,935.3265,26.60537,8.277225,30.15275,31.92644,35.47382,0,172.048,238.8571,244.7694,0,82.77225,221.7114,799.9347,43.75105,27.78783,4.729843,35.47382,30.74398,18.32814,16.55445,26.01414,140.7128,309.8047,0,139.5304,6.503534
"36081044400","Census Tract 444","Census Tract 444, Queens County, New York","00","36","081","044400",2305.64,1911.345,1309.491,8,0,14,28.10493,3.82951,0,29.3899,98.27408,116.6164,0,37,266.6391,394.2951,32.93444,0,0,34,9.786888,0,0,0,29.57378,182,0,106,0
"36081044601","Census Tract 446.01","Census Tract 446.01, Queens County, New York","00","36","081","044601",2310,1774,1138,31,0,89,28,6,6,98,72,48,0,41,217,536,169,30,0,62,0,12,0,16,6,124,0,111,6
"36081044602","Census Tract 446.02","Census Tract 446.02, Queens County, New York","00","36","081","044602",2860,1925,1110,40,0,47,22,0,0,110,42,230,5,81,238,935,107,62,0,73,13,0,47,21,34,308,11,259,0
"36081044800","Census Tract 448","Census Tract 448, Queens County, New York","00","36","081","044800",1734,1080,603,17,0,79,21,0,0,32,176,31,0,56,65,654,69,46,0,75,19,11,5,30,141,101,0,151,6
"36081045000","Census Tract 450","Census Tract 450, Queens County, New York","00","36","081","045000",1470,1060,713,20,17,28,49,6,0,40,48,26,0,102,11,410,33,33,7,38,33,0,0,10,18,67,0,171,0
"36081045200","Census Tract 452","Census Tract 452, Queens County, New York","00","36","081","045200",398.5078,281.714,204.834,0.04359404,0.01282177,16.17119,0.1077029,0,0.02820791,0.3436236,31.42769,0.1025742,0,20.25566,8.386909,116.7938,0.08205936,7.994562,0,49.1385,0.08718807,0.04615839,0.08205936,0.07693065,18.21856,0.2102771,0,40.837,0.02051484
"36081045400","Census Tract 454","Census Tract 454, Queens County, New York","00","36","081","045400",2638.217,1795.384,969.5074,16.95641,4.987178,86.7769,41.8923,0,10.97179,133.6564,205.4717,39.89743,0,124.6795,160.5871,842.8331,31.91794,7.979485,0,115.7025,33.91281,17.95384,31.91794,29.92307,107.723,81.78972,0,376.0332,7.979485
"36081045500","Census Tract 455","Census Tract 455, Queens County, New York","00","36","081","045500",11501,7705,4794,109,0,197,68,44,51,1008,250,400,7,415,362,3796,333,330,8,238,132,27,95,219,35,929,18,1401,31
"36081045600","Census Tract 456","Census Tract 456, Queens County, New York","00","36","081","045600",735,543,376,0,15,34,0,0,0,29,62,0,0,14,13,192,14,6,0,57,13,0,0,18,29,0,5,44,6
"36081045700","Census Tract 457","Census Tract 457, Queens County, New York","00","36","081","045700",2106,1367,823,0,0,56,79,18,0,68,59,126,0,73,65,739,106,21,0,98,13,10,0,8,66,299,0,118,0
"36081045800","Census Tract 458","Census Tract 458, Queens County, New York","00","36","081","045800",1538.889,1184.905,757.546,5.949314,0,65.44245,9.915523,6.940866,6.940866,140.8004,17.84794,66.434,0,30.73812,76.34953,353.9842,49.57761,0,0,72.38332,51.56072,0,0,50.56916,6.940866,21.81415,0,96.18057,4.957761
"36081045900","Census Tract 459","Census Tract 459, Queens County, New York","00","36","081","045900",2334,1608,943,20,6,61,23,39,7,7,147,172,0,118,65,726,60,64,0,97,4,17,0,12,47,303,0,122,0
"36081046000","Census Tract 460","Census Tract 460, Queens County, New York","00","36","081","046000",3605,2197,1041,39,7,129,0,21,6,117,88,320,0,103,326,1408,132,155,0,110,0,38,7,76,34,513,22,321,0
"36081046100","Census Tract 461","Census Tract 461, Queens County, New York","00","36","081","046100",1576,971,535,12,0,14,7,0,0,9,129,103,0,108,54,605,44,15,0,55,15,13,0,0,13,161,0,282,7
"36081046200","Census Tract 462","Census Tract 462, Queens County, New York","00","36","081","046200",4316,3119,1745,58,14,185,14,7,0,163,245,273,0,123,292,1197,113,90,0,149,6,0,19,8,84,388,3,337,0
"36081046300","Census Tract 463","Census Tract 463, Queens County, New York","00","36","081","046300",2160,1313,825,25,7,60,14,8,0,29,85,101,0,111,48,847,71,33,34,46,12,24,5,0,54,382,0,174,12
"36081046400","Census Tract 464","Census Tract 464, Queens County, New York","00","36","081","046400",1093.111,889.0951,593.4541,40.05069,8,32.55755,50.08448,10.05913,0.05913411,31.19958,69.15206,16.566,0,28.26188,9.650476,204.0159,9.422387,21,0,49.61669,0.4392819,18,0,0.4308342,57.05914,20.18585,0,27.81943,0.04223865
"36081046500","Census Tract 465","Census Tract 465, Queens County, New York","00","36","081","046500",2218,1302,704,0,0,52,14,0,0,0,110,245,0,68,109,916,107,14,0,20,14,13,35,0,46,522,0,136,9
"36081046600","Census Tract 466","Census Tract 466, Queens County, New York","00","36","081","046600",2185,1614,1055,0,0,85,51,16,26,106,80,16,0,97,82,571,71,31,0,141,0,0,25,102,104,40,0,52,5
"36081046700","Census Tract 467","Census Tract 467, Queens County, New York","00","36","081","046700",4529,2393,1379,41,0,74,25,6,33,46,167,323,0,170,129,2136,114,214,0,157,40,0,27,36,103,1137,7,279,22
"36081046800","Census Tract 468","Census Tract 468, Queens County, New York","00","36","081","046800",2480,1567,844,16,0,49,33,0,5,67,104,258,0,128,63,913,75,30,0,91,49,50,8,36,44,316,0,210,4
"36081046900","Census Tract 469","Census Tract 469, Queens County, New York","00","36","081","046900",5996,3331,1789,61,5,85,28,0,6,132,192,476,0,88,469,2665,178,239,16,285,20,33,57,51,103,1294,7,369,13
